City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,kidal,18.4411,1.4078,296.03,20,55,3.43,ML,1669850293
130,nome,64.5011,-165.4064,270.19,74,0,4.63,US,1669850293
131,ribeira grande,38.5167,-28.7,289.69,79,12,2.68,PT,1669850294
132,eydhafushi,5.1033,73.0708,300.14,67,67,0.86,MV,1669850294
133,sorong,-0.8833,131.25,298.98,86,100,3.2,ID,1669850294
134,kalaleh,37.3807,55.4916,283.83,75,100,0.63,IR,1669850294
135,saint-philippe,-21.3585,55.7679,296.92,78,27,3.69,RE,1669850294
136,sayyan,15.1718,44.3244,282.14,39,0,1.64,YE,1669850295
137,thunder bay,48.4001,-89.3168,267.14,68,75,10.29,CA,1669850295
138,amahai,-3.3333,128.9167,299.86,80,100,0.95,ID,1669850295
139,atuona,-9.8,-139.0333,298.68,74,71,6.34,PF,1669850295
140,bambous virieux,-20.3428,57.7575,295.49,88,40,2.06,MU,1669850296
141,quatre cocos,-20.2078,57.7625,295.42,76,34,3.36,MU,1669850296
142,husum,54.4858,9.0524,279.34,95,100,2.37,DE,1669850199
143,yelizovo,53.1873,158.3805,270.23,86,75,2.0,RU,1669850296
144,bengkulu,-3.8004,102.2655,296.3,86,94,1.45,ID,1669850296
145,leh,34.1667,77.5833,265.89,57,95,0.34,IN,1669850296
146,tilichiki,60.4667,166.1,272.82,98,100,15.32,RU,1669850296
147,saskylakh,71.9167,114.0833,240.09,99,100,3.5,RU,1669850240
148,noumea,-22.2763,166.4572,304.26,99,71,2.68,NC,1669850296
149,latung,5.5,120.8833,300.52,78,96,3.61,PH,1669850297
150,fort nelson,58.8053,-122.7002,245.92,69,0,2.57,CA,1669850297
151,baoding,38.8511,115.4903,264.48,20,0,0.56,CN,1669850297
152,hofn,64.2539,-15.2082,282.09,99,100,9.39,IS,1669850297
153,ponta do sol,32.6667,-17.1,293.55,78,16,1.69,PT,1669850297
154,san patricio,28.017,-97.5169,291.07,51,4,6.34,US,1669850297
155,cherskiy,68.75,161.3,257.9,95,100,2.71,RU,1669850297
156,nouadhibou,20.931,-17.0347,291.48,75,0,7.13,MR,1669850298
157,asau,46.4333,26.4,273.86,95,100,1.37,RO,1669850298
158,jinchang,38.4953,102.1739,261.86,55,9,1.62,CN,1669850298
